"text","hatespeech_comb"
"Caramba hein, agora vai... https://t.co/tZrQjMvLaU","0"
"PROCURO: uma criança que aguente trabalhar 12h/dia dentes fortes e q nao coma muito","0"
"Sugestões para um 2010 melhor: Colocar Chuck Norris como protagonista da série de TV 24hs!","0"
"@Leandroow3 vdd kkkkkkk esqueci de falar isso aí","0"
"E qual mulher tem força pra administrar um país?! Uma creche no máximo https://t.co/IROu8QAdcq","0"
"Que grande retorno e vitória dos Patriots. Tom Brady, Bob Kraft e Coach B são verdadeiros campeões. Nossa! https://t.co/lRFnP19NKz","0"
"Sinceramente, se forem refugiados de países vizinhos não vejo o porque do desespero (tem a questão da cri$e, óbvio) _ https://t.co/UwwQut8LIZ","1"
"Teori com todo dinheiro que tinha, com um avião moderno que tinha, iria morrer justo quando iria homologar a delação da Odebrecht?","0"
"@vt_008 sinto cheiro de sapatao riririri","1"
"RT @ajulysantos: Queremos igualdade!
Queremos igualdade!
Empoderamento feminino!
Queremos igualdade!
Ops! Não! Pera ai, nem tanto assim _","0"
"RT @rpsantos1970: A situação em Portugal já está deplorável, mas o governo quer que fique ainda bem pior...
https://t.co/Um0k4nrcrT https:/ _","0"
"Luana foi morta ao solicitar que fosse revistada por uma policial mulher, o que era um direito dela. O caso foi... https://t.co/2W2KWnbQOC","0"
"#rilitros RT @amora_inlove @angelicamorango se eu tivesse na Liquid Love, iria participar da Promoção ME INFARTA MORANGO, kkkkkkk #passomal","0"
"@FlavioBolsonaro  responde as críticas do @MBLivre, @mamaefalei e @Desesquerdizada e fala umas verdades
https://t.co/qcMpKlusku","0"
"@PastorMalafaia Estou com você pastor!!!!","0"
"A cadeira com o copo certamente é do lula https://t.co/cNGQ6nRgYy","1"
"Enquanto isso no senado.... https://t.co/l2SZVJ7le2","0"
"Não posso ser repórter em Angola, não aguento essas broas! Ia rir na cara das pessoas. https://t.co/JrmnrjLuIz","1"
"RT @joaomhenrique: Num dia como o de hoje e o onze do Benfica em Dortmund não tem uma única mulher. É uma vergonha!","1"
"RT @_cinnamongirl: eu toda vez que vejo alguém falando que racismo inverso existe http://t.co/LIEJJCUlVy","0"
"A avaliar pela quantidade de malta conhecida que morreu em 2016, o 'In Memoriam' deste ano é coisa para durar umas 9 horitas na boa
#Oscars","1"
"PNR marca protesto pela “liberdade de expressão”
https://t.co/bNmySpx5Ty","0"
"É Carnaval, ninguém leva a mal! @_CDSPP  
Quem é Paulo Núncio? https://t.co/PHTC4bOzZi","0"
"Estão todos perguntando se é um VETO ou não. Chame do que quiser, o objetivo é manter os marginais (com péssimas intenções) fora do país!","0"
"Alias, isso é uma coisa que algumas mulheres também não sabem e ficam achando que por não gozar com penetração tem algum problema. NÃO TEM!","0"
"RT @ptsilva_vix: @BlogDoPim @VEJA parabéns pelo artigo. Temos q ficar de olho aberto com esses esquerdopatas.","1"
"E pensar que defendi essa moça.Coitado do cerrado que foi falsamente acusada por ela.E os estragos morais, quem... https://t.co/0n64shwDcZ","0"
"Kd as suvaqueiras peludas essas horas??? https://t.co/tbK7HJl3Vv","1"
