text,hatespeech_comb
"não ouço falar nada de liechtenstein 
outro país que não aceitou 'refugiados', manteve a id cultural e nacional, frio e é monarquia. foda.",0
RT @cassiocl: Serviço de contenção do vazamento em Barreiro. As bombas flutuantes começam a jogar água do reservatório de Campos para Barro _,0
"RT @omalestafeito: com a carrada de dinheiro q voou daqui,e como a Cristas diz q Portugal deve muito a Núncio,o mínimo é dar o nome do home _",0
RT @mundodrogado: Antes o homossexualismo era proibido.Depois passou a ser tolerado.Hoje é normal.Eu vou embora antes que vire obrigatór ...,1
Parabéns! Ser a favor da VIDA é um valor básico e inegociável de qualquer pessoa DO BEM! https://t.co/jJGeM1rAIC,0
"RT @pauloap: OTÁVIO MESQUITA DECLARA APOIO A JAIR BOLSONARO
@jairbolsonaro @BolsonaroSP @FlavioBolsonaro @CarlosBolsonaro https://t.co/Fj4 _",0
sou gorda sou feia se sentar em cima eu esmago,0
"Tem homem que pensa que mulher é máquina de refrigerante, que vc deposita apoio e recebe uma foda",1
A era em que 'homens' começam a usar cor de rosa https://t.co/3Cfl9aoHmO,1
Ainda não acredito que não estarei em #Recife dia 24/07 no #oquartosecreto com a @angelicamorango. Serio! Saco! #boloderolofeelings,0
Lamentável que toda minha equipe ainda não tenha sido aprovada. O maior atraso da história do nosso país. Obstrução _ https://t.co/WUcwRgPKwe,1
"'não come mel, morde marimbondo'",0
gente a mulher maior cdf na cozinha ainda veio do texas formada #MasterChefBR,1
"@leoovini sapatão com jogo tá quase igual hetero, o raca ein",1
"o pior de tudo que é uma MULHER defendendo um filho da puta que assume ser abusivo E ELA DEFENDE O CARA
MIGA PARA VC TA SENDO BURRA",1
Tá super legal o documentário #EuVocêTodasNós passando AGORA no @canalfutura. Dá pra acompanhar por aqui >> https://t.co/3h24XnSMhN,0
RT @TonyStarkMeta: Ninguém chega à presidência dos USA sendo maluco. Trump chegou ao poder derrotando um establishment de 70 anos de suprem _,0
"Esse cara é um lixo humano, é daqueles imbecis que acham que sabem tudo https://t.co/Ocs4E9fEV1",1
"EDITORA CENTRAL GOSPEL : Famílias em Perigo – O que todos devem saber sobre Ideologia de Gênero
Por Marisa Lobo... https://t.co/ILBxWmf61V",0
Estocolmo: capital das violações! As mulheres andam com medo e mudam hábitos de vida. 'Welcome R(ap)efugees'? _ https://t.co/BxSrVriKNC,1
"O politicamente correto é algo completamente doentio, cogita até homem menstruar. https://t.co/OiUg6vHh4c",1
@iStevenOficial  Obrigada... Só se for agora....rs,0
@Estadao Nunca vi esses 'coletivismo' lutando pelos direitos da mulher no islamismo. Elas são só massa de manobra d _ https://t.co/doSd6ScAnu,0
#FelizDiaDaMulher essa história merece ser revista. https://t.co/8a4k7BEiXz,0
"RT @Marcita_um: @lobaoeletrico Diria q todo esquerdista é um orgulhoso que fugiu das aulas de história, pulou aulas de filosofia e nao sabe _",1
"RT @alex_borges: Essa mentira de ontem contra o Trump é um divisor de águas, a imprensa oficialmente perdeu qualquer compromisso com a verd _",0
