instagram_comments,offensive_language
"Só tem lixo! Narizinho, marido do Verdevaldo, etc...🤢🤮🤮🤮",1
Mídia pirralha...,1
Bom dia,0
"Por um lado eu acho desnecessário ficar um atacando o outro, MAS por outro lado acho necessário, pois SÓ assim ficamos sabendo o que a passa nos bastidores .",0
Porquê estão temendo.,0
Eita 😍❤️😍❤️,0
Vc tem “ algo” de razão! Sou Bolsonaro mas eles tem q seguir o ditado BOCA FECHADA Ñ ENTRA MOSQUITO! Às vezes pra ajudar falar além ....,0
"SOBRE ESTA PRAGA . FICO TÃO DESGASTADA COM MANCHETES SOBRE ESTE TIPO VIL, REPUGNANTE QUE ATÉ TECLO ANTES DE CONCLUIR MEU RACIOCÍNIO. AFFFFFFF",1
Essa foto ficou bonita,0
"Achei que o impeachment viria logo, mas tá demorando .🤣🤣",0
Tem que criar escolas militares em todos Estados e municípios ..👏👏👊🇧🇷,0
A grande falha do Bolsonario é não colocar freios nos filhos. Eles azedam o governo do pai,0
Qual é o nome do jornalista ??? Tem que divulgar para fazer passar vergonha !!!,1
Esse lularapio tem que ser julgado e condenado e voltar a prisão,1
Parabéns 👏👏👏👏👏👏👏,0
Essa zero já era para ter aposentado e parar de fazer jornalismo parcial e@mentiroso,1
Deus é mais,0
Cala a boca sua pirralha !!! 💩💩💩,1
BOLSORATO,1
#Globolixo,1
"Minha ideologia é o Brasil, deixa o povo ficar em silêncio...A esquerda toma conta e os oportunistas .",1
"Falas irresponsáveis???? Pára, que tá feio D. Joice!! @joicehasselmannoficial 👎🏻👎🏻👎🏻👎🏻 pra você ó 👎🏻👎🏻",0
Que lixo de mulher. Não sabe nem falar. Tenho vergonha de ter sido governado por uma mulher dessas.,1
"Fortalece a esquerda é vocês @joicehasselmannoficial, atacando o filho do presidente que vocês tanto defendiam, muda o foco mulher, quem Apoia o Bolsonaro,lógico que apoia os filhos dele tbm, melhore mulher!",0
Esse Feliciano não presta mesmo,1
Outra bandida ...,1
Imbeciloide esse homi.,1
"Bem feito, colocaram ele ai, agora aguenta. Estes premios deveria ser só para quem votou nele.",0
Graça a deus q os sros não compra Deus,0
Náusea define,1
@fernandohaddadoficial tbm quero ser entrevistada😍,0
"Sensacional! Aproveito para perguntar como anda o projeto de criminalização do comunismo, pois não aguento mais ver e escutar essa gentalha, adoraria vê-los enjaulados.",1
Parabéns,0
FDPUTA!,1
Até que em fim,0
Coloca o satã no caminho desse pastor Feliciano bandido.,1
Porque essa pirralha não bate de frente com o presidente MACARRÃO da França??,1
Mérito de que essa carniça,1
"Eu concordo com essa legenda sim, tb sou contra essa objetivação do corpo feminino, mas temos que aplaudir essa conquista, um evento tão onde a branquitude sempre reinou",0
"E a reforma politica, são 70.794 politicos, e um custo de 128 bilhoes ao ano ao🇧🇷, se a reforma da previdencia era tão importante, a politica tbm é necessaria.",0
Pilantra,1
Cara de pau.,1
Falando a BOCÓ que quer estocar o vento 😂😂,1
Muito bem! 👏👏👏👏👏👏,0
"Acho que deveríamos entregar a presidência do Brasil a está personagem (greta) 16 anos sabe muita coisa??? Ai fico pensando quando em nosso país, um menor com 16 e bandido e estuprador e traficante ninguém da tanta atenção???",0
Dá-lepeeeepaaaaa👏👏👏👏👏,1
Esta revista é podre. Só os ratos dos esgotos mais imundos a leem,1
Boa!,0
"O contraste de pensamentos é tão grande,que parece que vivemos um pesadêlo!",0
Se eu pudesse curtia até 2090! Aaah que lindo❤️,0
Muito bem Benedita! 👏👏👏👏👏👏👏👏👏👏👏,0
Fato!,0
@fernandohaddadoficial seu retrato ao lado de Paulo Freire é uma honra mais que merecida! Grande ministro! Quem entrou na universidade nesta época sentiu na pele a diferença. Abraço!,0
"Muito bem eduardo,nao vou perder .obrigado",0
Podre!,1
"Pobre menina!! Teleguiada, por interesses excusos!!! Comunistas por trás.",1
Cretino!!!,1
"Pode até ser, mas o Brasil precisa disso, o Brasil precisa de uma guerra, pra voltarmos as origens, sentimentos e a nos respeitar como pessoas e naçao",0
Tem como ele voltar pra cadeia fazendo favor !?,1
"Esse cara e um canalha, .",1
Cadelinha de estimação da lixo,1
Essa menina é louca!! Aff!,1
Que venham Los Hermanos 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,0
"PARABÉNS , JOICE ! Uma parlamentar , e principalmente , uma brasileira que o BRASIL NÃO PRECISA ! Que ser humano feio É VC . Depois não quer que sua família passe vergonha porcausa de vc. TRISTE !",1
"Ué? Cadê o @kimkataguiri nessa? Ele foi lá babar o ovo do francês mais cedo, essa era a hora dele foder com o povo. Cadê o Kim aí?",1
Vai dar certo! 👏👏👏,0
"@cartacapital papel ridículo que se prestam, cabe um processo nesse jornalista asqueroso, doente e nojento!",1
