text,hatespeech_comb
Caso Rufino António não avança na Procuradoria Geral da República https://t.co/QfWF5UDHEf #notícia https://t.co/TypzzE4GDa,0
@CapitalismoOP @editorahumanas vdd!! Porque eles estão pouco se importando para a segurança dá mulher!!!,0
Por favor nunca seja o branco https://t.co/fj1CCi6QSj,1
Escutando músicas sapatão,1
"@AlineBorel OI! Sugeri um JV e ninguém me deu bola... tá afim? vc te mais moral que eu, vem mais gente. rsrsrs",0
'Se você não quer refugiados pare de cria-los' https://t.co/zN9bN22ejQ,1
@RealOzziePena @V_of_Europe @JOAQUINVOLTOU @OdeCarvalho @AnaPaulaVolei @moura_101 @GABRIELPlNHEIRO @BlogDoPim Eu também não votaria.,0
@o__ferreira Volta para a tua terra,1
"É mesmo?? Caramba, achava que qdo um processo deles chegasse ao STF eles o abandonassem... #FolhaFakeNews https://t.co/nqOiwJ70dw",0
"RT @dobrodepessoa: Não acho ser o mais correto... mas também a nível em estamos, não podemos go back em relação a esse assunto! Isso é a re _",0
"Partilhe e divulgue!
São cada vez mais os portugueses que passam fome... e o que é que o governo tem feito!?
https://t.co/X8kqVsnu8b",0
Bom dia pra quem #BolsonaroMeRepresenta ! #Bolsonaro2018 https://t.co/YShztEvMzv,0
"Hoje, às 19h45, na #RTP1: tempo de antena anual do #PNR.
A não perder! E... divulgar. https://t.co/yKfFlC9aKZ",0
Em Angola brinca-se de fazer musica.Problema não esta nos musicos mais ao povo que so consome lixo.,1
Fiquei sem internet ontem o dia inteiro e até descobri q tem um pessoal aqui em casa até sentei com eles na mesa acho q é minha família,0
"eaí que o temer quer cortes pro salário mínimo, na educação e acabar com o SUS? bagulho é tirar a dilma porra #ForaPT",0
RT @omachoalpha: sei que neste momento o Neymar está creditando toda a honra a Ele https://t.co/qQvfWuoLlQ,0
RT @New_Delia: E os países acolhendo refugiados. Tem que gastar dinheiro ajudando essa gente lá no seu país. Infelizmente essa gente não dá _,1
RT @maathbz: to pensando em virar PM só pra musica da daniela mercury parar de tocar quando passar por mim so nem obrigado,0
ALGUÉM TEM QUE AVISA ESSA MOLECADA QUE CARNAVAL NÃO Ê SÓ BEBEDERA E PUTARIA SEM PRESERVATIVO COM ESTRANHOS. ONDE FICA O RESPEITO AO PRÓXIMO?,1
RT @EmmanuelaJacira: Amei esse @Justiceiro_Sujo. Tão provando como essa onda do politicamente correto é a maior farsa inventada nos últimos _,0
@Chiiaritta u r so right.  @Curate_Angola ir buscar argumentos de autoridade não torna mais verídico o seu discurso.,0
Indo ao CAPC! https://t.co/lCdXmedEke,0
"meu tio disse que quer mudar meu gosto musical..
ATREVA-SE",0
RT @ShedyaLouise: Os bonecos nunca serviram para expor sexualidade as crianças. Não vejo o objetivo disso https://t.co/eJI6qwgjul,0
"mano que mulher é essa que tá no master chef 
me sinto mt burra #MasterChefBR",0
@carolinaamatos @Fmsamendes @ReallySaraa volta para a tua terra,1
"RT @alex_borges: Deus tá vendo essa turma que reclamava da boçalidade dos petistas e agora relincha que Trump é 'Hitler', 'Dilma' e sugere _",0
RT @ghourmet: Adoro estes católicos que se lembram da bíblia e Deus quando é para serem homofóbicos mas depois só o Islão é que é religião _,0
"Lugares da minha Pátria.
Ponta oriental da Ilha da Madeira com 'Desertas' ao fundo.
#IlhaDaMadeira #Caniço _ https://t.co/YBbo7yeuUJ",0
"Grande aumento no tráfego pro nosso país em certas regiões, com nosso povo muito mais vulnerável, enquanto aguardam _ https://t.co/ozmDaNYj7v",0
RT @LissaniaMenezes: Angola ainda não ratificou o acordo ortográfico de Língua Portuguesa Escrevam bem yh,0
"RT @MoniquePrada: Eu paro pelo respeito à autonomia das trabalhadoras sexuais. E você, por que para?
#euparo https://t.co/1judJP66JT",0
"@Sybylla_ Ué, mas o homem branco fez isso mesmo. Esse povo pensa que a colonização foi como?",1
gorda e feia,1
RT @josesoubrasilia: HORA DE ACABAR COM OS CORRUPTOS  VAMOS OCUPAR O CONGRESSO A PM É POVO https://t.co/HZuJGKZCm0,0
RT @ritocca: Quem é a favor da criação do Dia Nacional do Orgulho Heterossexual - popularmente falando Dia do Hétero - diga EU.,1
Culto Igreja Nazareno Ebenézer dia 19/03 as 9:00hrs. #Familia modelo original do Eterno. https://t.co/og8Rc4hk1e,0
"Se você assistir Titanic ao contrário, verá a história de um submarino que resgata as pessoas do mar e as coloca em uma festa.",0
"Que o BRASIL não seja a proxima Suecia, França, Alemanha...já temos bastante problemas por aqui, não precisamos de _ https://t.co/u1ehG7YH6V",1
acho que o cara da redação do Enem deveria perder pontos pq não ficou claro o sabor do miojo,0
"Mulher, até a Angelina Jolie é traida e vc acha q vc não? Larga de ser otária",1
@brightnessgaga algumas pessoas acham que racismo é só agressão. por isso não se consideram racistas.,0
@leticiabahia23 cai na real..voce tem que ir dizer isso la na sede do movimento feminista. Olha a agenda dele. Se i _ https://t.co/BbRfhdJGcq,0
@fmlrobbery obrigado! outras provas e evidências! https://t.co/h40gR8bzeA,0
"@HevertonJhon @benebarbosa_mvb ahaha  dsculpa, ja corrigi",0
"@homemdeverdade não pode ser vegetariano, a gente esta sempre no topo da cadeia alimentar !",0
Então é Natal https://t.co/yuoIhHn8Fz,0
Desejou feliz dia das mulé o cara q chama mulher de burra o resto do ano,0
@mibiel Porque chamar 'idiota' não é 'xingar'. O prémio iliteracia está entregue,0
Um novo dia é uma página em branco na sua vida. Escreva apenas o que vale a pena! Bom dia,0
"RT @jpintocoelho60: @fcancio, peso-pesado do gangue da comunicação social. Apesar da censura cobarde e de ridicularizarem quem se opõe, já _",1
@BolsonaroSP falando como foi ser criado pelo @jairbolsonaro https://t.co/MWmhJKDpi3,0
Acredite se quiser: Existe agora 'agefluid' - faz parte da ideologia de gênero provavelmente - que faz parte do ati _ https://t.co/B2YNzJmzTk,0
"E o bacana é que a BBC apóia essa galera entrar indiscriminadamente nos EUA. Top, né? https://t.co/EPFRbE010f",1
Devia ter chegado mais cedo. Fiz o que pude malta https://t.co/KrS0h5F5F2,0
"CHEGOU SEXTA FEIRA:
ÁLCOOL
PROSTITUTAS
XIS BÊICON
ARMAS DE FOGO
MARCHINHAS OFENSIVAS
(VÁLIDO APÓS O HORÁRIO COMERCIAL)
BOM DIA #usecamisinha",1
RT @CapitalismoOP: Parabéns às mulheres q merecem respeito não só hj mas todos os dias do ano assim como os homens. Só unidos teremos uma s _,0
RT @CusquicesFufas: Fufas trocam alma por pão fofo !,1
"Ver 1 mulher com 1 olho negro é das coisas que mais me revolta.
Nunca sei se é 1 ex do Carrilho ou 1 gótica a passar dificuldades económicas",1
"segundo esse 'jênio' doutrinado por professor militante ateísta esquerdista, o Cristianismo é a religião que mais o _ https://t.co/AnTkEpVvuz",1
Obg aos nossos grandes Xerifes e Chefes de Polícia pelo seu serviço & liderança. Vocês tem um verdadeiro amigo na _ https://t.co/1aOMPZ4whQ,0
@Direita_blog quem é contra o ISLÃ..defende muito mais a mulher do que qualquer outra feminista,1
"EU TENHO PENA DAS MULHERES COM ESSE HOMENS DE HOJE
ACHO QUE EU VIRARIA SAPATÃO, OLHA DÁ VERGONHA DA MINHA RAÇA _ https://t.co/z4wRncC98n",0
"RT @BolsonaroSP: Audiência de custódia: preso esculhamba juiz e tudo certo, até porque desacato é liberdade de expressão, não crime. https: _",0
"Dúvida pública de 3,65 TRILHÕES! 
Tranquilo gente, é 'público', ou seja, não é de ninguém! 
Estado grande é bom s _ https://t.co/aeA5cHanX5",0
"Curtiu mais de 3 fotos da mesma pessoa, tá querendo comer",0
RT @leandrolechuga: @RachelSherazade A esquerda pira  https://t.co/LsHvX4RFQZ,0
"“União Europeia ameaça com sanções países que não recebem refugiados”
https://t.co/li6ztrpFNJ",0
RT @Itspedrito: dizem que asiatico eh tudo igual mas vcs ja viram homem branco malhado nos blocos de carnaval??????? https://t.co/aAzTey0jbA,0
RT @maathbz: Incitação estranhamente no dia em que defendia a prisão de um menor estuprador e assassino enquanto o PT defendia o estuprador _,0
"Atenção, pessoal de Macapá!
Vai rolar um grupo de estudos com base no livro MeuAmigoSecreto: Feminismo além das... https://t.co/TM8TBX9oSS",0
@Mih_ArmstrongL @otmar03 Ainda bem que eu nao sou um FEMINISTO (homem que defende feminismo)..eu defendo a mulher e _ https://t.co/pX2ITtdVTg,1
"@lipesff @Johnnschubert VERDADE! Ele sempre foi gatinho, mas eu era sapatão demais para prestar atenção hahahah",0
@httpsdofandom mas tb desse jeito achei q a solução era remover o pé,0
RT @PqpCarol22: @BalaaTreem E tão sapatão que não sabe oq é pauuuuu,1
"Quero ver essa versão do Mad Max em preto e branco, parece bem maneira",0
"Portugueses, não se esqueçam de votar agora na música que nos vai envergonhar na Eurovisão
#festivaldacanção",0
"Isto é o que eu, o @RuiHCruz, o @istoeserio e o @DiogoBataguas vamos andar a fazer. Mais datas virão. Bilhetes nos _ https://t.co/mSYf1tQniu",0
a própria culpada pela exposição é a filha da Maria do Rosário que postava fotos com drogas e nudes em seu próprio instagram,1
RT @pauloap: QUANDO VOCÊ GANHA AQUELE PRESENTE: https://t.co/zOlcBzgXPk,0
"Os bebés adoptados são c/ os telemóveis novos:
Qd os vamos buscar desesperamos se os deixamos cair.
Qd vemos 1 defeito,abrimos conta no OLX",1
RT @direitafalando: a maconha que te faz rir é a mesma que faz sua mãe chorar,0
não brocha com calcinha bege,0
"RT @alex_borges: Você tem uma doença terminal e precisa deixar seus 3 filhos pequenos para alguém cuidar. Dessas opções, qual você escolhe?",0
Você acorda de manhã e essa é sua mulher. Oq vc faz? Primeiro q vc nem dorme.. https://t.co/RIw5L3NC0Z,0
"RT @JanainaDoBrasil: 12- estou falando de empresários e grupos milionários, que se beneficiam de financiamentos que, a meu ver, deveriam se _",1
"sabe como acaba com o tráfico?
tu parando de fumar essa tua maconha seu vagabundo imundo",1
"O Lula falou que o melhor que a Marisa fez foi ficar submissa a ele e não dar palpite. A platéia, repleta de femini _ https://t.co/25zXrS30ef",0
"PNR avança com candidatura à Câmara do Barreiro, com José Almeida e  @rpsantos1970 https://t.co/RJJBCZdK4d",0
"Opa, 'certíssimo'! Vida humana não vale nada aqui mesmo, não é? Que belo exemplo! 
Mas ai de você se quebrar um ov _ https://t.co/vXYFL0zecD",1
"RT @bazert: Autoridade Tributária, Banco de Portugal, isto está a ficar giro, finalmente começam a perceber-se todas as trapaças dos galifõ _",0
Os cara fica me expondo no trabalho. Me chamando de sapatao. Mereço.,1
sabe quando voce eh feia e a sua cara eh gorda? eh o meu casokkk-chorando-,1
"ustra: não pode homenagear
che: pode homenagear",0
dessa vez sem piadas de humor negro com Santa Maria - RS.,0
Q viadagem de romantismo. Ele tava comendo ela de ladinho https://t.co/bBhrnSMJ6E,1
A atenção finalmente está voltada aos infiltrados desocupados! Eles serão pegos! https://t.co/lGSLTh3AKd,0
RT @WannessaMichi: @humornegroo Ainda tem uma espécie viva: Oscar Niemeyerssauro,0
"RT @editorahumanas: Seu pai não te trata mal por vc ser gay
Seu pai te trata mal pq vc tá desempregado com 30 anos dançando pop no quarto c _",0
"Não usa roupa cor-de-rosa, nem roxo.",0
O 2o fim do Nirvana https://t.co/866rfyO0Hc,0
"14 de Março volto a actuar em Lisboa(material novo) juntamente com o Cruz, Maria Lázaro e Pedro Figueiredo.
Reserva _ https://t.co/c3tQULY8jU",0
"RT @GABRIELPlNHEIRO: Na Arabia Saudita, Irã, Afeganistão...
E nunca vamos ver feminista falando do islã https://t.co/3LzVuLpOp8",1
"RT @ShineAnselmo: TODO ANGOLANO QUER SER POLICIA , MILITAR (FAA) DAQUI A NADA ANGOLA NÂO TERA MAIS GATUNO.",1
"Jair Messias Bolsonaro desmascara padre pedófilo que o atacou
https://t.co/iySaKv4j5R",1
Queria saber pq todo mundo acha que eu sou sapatão,1
"RT @heto: cientificamente comprovado. se não curte um pornozinho, não é @homemdeverdade",1
"RT @BolsonaroSP: BOM SINAL: PADRE PETISTA, JÚLIO LANCELOTTI, DEMONSTRA DESESPERO E DESCONHECIMENTO SOBRE BOLSONARO. https://t.co/8qD5BoXTTE",0
"IRMÃO @estadohiramico, DO BLOCO PORÃO DO DOPS, APARECEU AQUI NO CAMAROTE GLACIAL JOAQUIN TEIXEIRA TRAJANDO ESSA FAN _ https://t.co/qBAhhytXrG",0
"Tem uns pernilongos da angola aqui, não é possível",1
"Só uma pessoa nojenta é capaz de escrever uma barbaridade destas!
Ah, é um jornalista e é verdade?
Desculpem, assim _ https://t.co/LcKvyiZUbR",0
RT @ezvenus_: Incrível a facilidade que sapatao tem pra namorar,1
"O PSOL foi seguir a ideologia comunista coreana onde se come cachorro, mas levaram muito ao pé da letra... https://t.co/AQAzISQzmz",1
não sei como esse cara não virou fixo do elenco do @TheNoiteOficial https://t.co/Lxk7uwfr5C,0
@analindamente eu só consigo lembrar das campanhas #meuamigosecreto e #meuprimeiroassédio. me sinto mt lixo humano por ver gente falando de,1
"Video que explica porque a imigração em massa para países desenvolvidos não soluciona a miséria dos subdesenvolvidos
https://t.co/ErcCavTe2l",0
Boa semana para todos! https://t.co/GylJKCPVF5,0
cota é racismo!!!! somos todos iguais,1
ESSE P.S.G. É UM SÃO CAETANO QUE FALA FRANCÊS,0
"Se a Isabel Angelino continuar a rir tanto, o botox dela é que vai precisar dos 12 pontos
#FestivaldaCancao2017",0
"o que adianta vc dizer que sente pena e não consegue refutar uma só linha do que falo????
Isso é uma tática para o _ https://t.co/sZT99syPKl",0
"@msantoro1978 assim como todo refugiado sírio é um terrorista infiltrado, todo venezuelano é um chavista.
Assim será sob o temerismo.",1
Aqui no Brasil tem tantos refugiados da guerra na Síria e não temos qualquer registro de ataque.,1
@otmar03 @itsmabizao Feminismo: movimento q diz lutar pelas mulheres mas persegue td mulher q tenha opinião própria _ https://t.co/J4jWi1v45F,0
RT @julyarosas: O que essa mulher está falando ??? Eu tô esperando pela comida e ela falando sobre sla. Me senti burra #MasterChefBR,0
PT é vermelho pq vermelho representa o comunismo ou seja representa o inferno.,1
Benfica pediu reunião urgente com Conselho de Arbitragem. Anjinhos... Isso não resulta. Para resultar tem de ser surpresa...,0
Ja avisei o dt q provavelmente v deixar a prova de fisico quimica e cn em branco,0
"31 Jan,'Popular Alvalade':
Eu,@RuiHCruz, @Djubsu, Ana Garcia Martins e convidados-surpresa.
Bilhetes à porta ou em _ https://t.co/NXeFsfkN6C",0
