text,offensive
daqui a pouco vem um falar de titulo na selecao,0
Falando em heranca sao  anos de PEC haja heranca pra deixar,0
Ze ricardo nao sabe avaliar nem os jogadores profissionais q estao com ele que dira a base,0
Sapo Demonio seria mais apropriado,1
Nao acredito A barata cascuda deve ter alugado um hotel  estrelas inteiro,1
Forca na peruca Galo RACA ROBINHO RACA PRATTO RACA CAZARES Vamos jogar com amor a camisa ,0
Na carne de quem Aumento para varias categorias de servidores servis que dao suporte a tudo que esta sendo feito O unico que vai sentir os impactos reais e o povo que por incrivel que pareca foi tao alienado que uma grande parcela apoia essa loucura,0
Se a empresa concorrente da sua te oferecesse um super contrato de trabalho voce trocaria de empresa Quanta gente hipocrita nessa torcida do fluminense aff,0
Bruno cria um cerebro e pensa,1
Ela e autoridade maxima do Judiciario nao e ministra da saude Vao se informar seus zes ruelas,1
Cortar na propria carne e reduzir o no de Deputados Federais e Senadores e seus gabinetes com aa consequente reducao de mordomias,0
Sabe o que eu acho engracado os nossos governantes  nao pensam em cortar regalias e beneficios desnecessarios que os favorecem porque sera ne e mais do que claro ate mesmo para quem nao quer enxergar eles sao estao la para defender seus proprios interesses  e os dos empresario o no casso eles tambem ou comecamos a tomar uma atitude para mudar de uma vez por todas essa roubalheira nesse pais o a tendencia e so piorar para o povo porque dinheiro para investimentos nao tem mais para aumentos de salario e regalias nao falta,0
So com conviccao nao se prende ninguem ,0
Tem que cuidar para que esta bandida nao venda infirmacoes sensiveis do Brasil,1
ONU  KKKKKKKK ONU e bosta e a mesma coisa seu anta,1
mais voce viu que ja esta sendo cobrado os impostos de pessoas que aplicam seus dinheiro em outros paises e quanto  corta salario aumenta imposto isso ai nao resolveria o problema e sim agravaria cada vez mais agora corta gasto desnecessario isso sim e valido,0
minha diretoria e transparente e nao mente igual a  de voces nao tudo q o flamengo fala e concreto e fato tem credibilidade,0
Tomara que a Argentina goleie estes frescos,0
O cara joga muito mas transa com o bum bum ,1
Mauro ze ruelaa falta de argumento e tao grande quanto a propina que ta recebendo para apoiar bandidos,1
minha esperanca e que vc fosse um troll mas da para ver que vc e ignorante mesmo,1
Sera que houve uma faxina para a visita da Ministra ,0
Seriam grandes clubes afinal sempre tiveram jogadores nacionais que fizeram historia,0
Joga muito,0
nao esqueca da justica tb juizes desembargadores etc etc,0
 so falta acabar com a farra dos cartoes corporativos,0
O encantador de burros pegou mais dois,1
to dizendo que a globo fez e o sergio moro fez boca de urnaeles estao apagando as mensagens,0
nossa tudo o que eu vejo na pagina do fluminense sao mulambos sem nada pra fazer porque em vez de ficar falando bosta nas paginas de outros times vai fazer uma coisa produtiva,1
Quem esse time,0
Quem tem o famoso transglobe da Philcoso vai servir pra ouvir radio do Paraguai,0
A esquerda segue a passos largos rumo a quase extincao Continuem assim,0
Voce e meia duzia pensam assim,0
Esse sorriso sonata nunca deve ter visto e nem jogado futebol Marcelo e Daniel Alves jogam a anos em times de ponta da europa ja ganharam ds os titulo ja estiveram varias vezes na selecao do mundo e vem esse bosta falar q eles sao ruins,1
E a mesma denuncia burrao,1
esses petralhas malditos,1
Daniel Lima Nao e rivalidade e a verdadeMessi esta acima de todos no futebol atual,0
Mais um pobre metido a besta ja ja fica sem dinheiro e vai sentir falta dos bons tempos,1
nossa traz mais uma ai pra nos beber gostei da  do Parmerda neleskkkkkkkkk,1
lazarentuuuuu,0
Ele chamava pra atras da escola e sentava nos garotos kkkk,1
Exercicio de logica elementar Se o PSDB que ganhou a maioria das cidades e foi o grande vencedor das eleicoes supostamenteb perdeu para os votos nulos imagina os vermelhos kkkkkk FORAM VARRIDOS Em SP entaoPrimeiro turno Um passeio,0
Entendam que a causa principal de tudo o que esta acontecendo na politica e com reflexos negativos na economia e obra do populismo que quando em seus  anos de desgovernanca so tinha um e somente um plano de governo Se perpetuar no poder a qualquer custo,0
Pode prender inocente  ,0
Ragnar e nome de travesti da Escandinavia,1
CONCA TA BIXADO MANEKKKKKKKK,1
Alex exponha seus argumentos abc,0
Cade as algemas,0
ESTA CHEGANDO SUA HORA BODE VELHO ASQUEROSO,1
Igual a da sua mamis Uma prega indestrutivel  kkkkkkkkkkk,1
So denuncia mais prender que e bom nada,0
IDIOTA,1
Agora eu vi a capacidade do ser humano de ser TROXA,1
Todos ou voce duvidava dessa medida tao rapida do MPF,0
Melhor que Todo Feio mas no presidio vao dar outro apelido pra ele Ruim de Bokket,1
Entao peco um pouco mais de respeito Falei,0
Ue e o cheirinho que voces estavam sentindo era de que,0
pele nunca vai ser melhor q esse cara,0
Essa idiota nao tem o que fazer,1
Sr Sergio moro crie uma comissao de magistrados corajosos p apurar crimes sem medo,0
Foi com anistia que o governo militar deixou o Brasil na pior,0
To sentido que tem defensores de bandido por perto FUI,0
Que moral idiota quase nem voltaram Kkkkkkkk,0
Adinaldo Bibinha,1
A PEC corta a carne do povo porque a dos politicos estao intactas os salarios deles aumentam regalias continuam desvios de dinheiro tambem continuam enquanto a lava jato nao detectar eles e por ai vai bem vindo ao Brasil e politicos farinha do mesmo saco onde todas as eleicoes o povo procuram eles para vender o voto e os politicos nao fazer o voto ficar optativo pois prejudicaria eles no que tange a se elegerem comprando votos e manipulando o povo sempre burro sem educacao saude e tudo que temos direito,0
SE ZE CONTINUAR NAO VAMOS GANHAR NADAEM HORAS DECISIVAS SEMPRE ERRA,0
Rogerio entao ela tambem nao e secretaria da Seguranca publica seu  ignorante ,1
corinthians o melhor aluno do enem enemlibertadores enempaulista enembrasileirao enemcopa do brasil,0
ze ricardo     ta de brincadeira   culpa desse mane  todo jogo um time diferente  fanfarrao,0
